the day before yesterday,おととい
the day after tomorrow,あさって
the other day,先日
these days,このごろ
in those days,そのころ
at that time ,そのころ・当時
once upon a time,昔々
in the future,将来・未来に
of course,もちろん
by the way,ところで
in fact,実際は
for example,例えば
and so on,…など
,
,
,
,
,
,
,
"as … as one can
as … as possible",できるだけ…
… as well,同様に
the same … as ~,～と同じ…
… such as ~,～のような…
such … as to do,～するような…
each time …,…するたびに
all the time,いつも
day after day,毎日毎日
day by day,日ごとに
every other day,一日おきに
over and over again,何度も何度も
as usual,いつものように
by chance,偶然に
,
,
,
,
,
,
,
call up ~,電話をかける
all at …,立ち寄る
call on,訪問する
call for …,大声を出して求める
pull out,引き抜く
point out ~,指摘する
wear out,"すり減らす
使い古す"
see off ~,見送る
pay attention to …,…に注意を払う
pay a visit to …,訪れる
catch up with …,追いつく
feel sorry for …,…のことを気の毒に思う
remind <人> of …,<人>に…を思い出させる
owe … to ~,…は～のおかげである
take … for granted,…を当然のことと思う
,
,
,
,
,
in front of …,…の前(正面)に
in the middle of …,"…の真ん中に
…の最中に"
at the top of …,…の頂上に
at the bottom of …,…の底に
next to …,…の隣に
out of …,…の中から外に
no longer …,もはや…でない
not … at all,少しも…ない
not always …,いつも…とは限らない
anything but …,"決して…ではない
…以外なら何でもする"
nothing but …,"ただ…だけ
…してばかりいる"
far from …,…からは程遠い
by no means …,決して…ない
